,platform,original_link,post_time,title,view_count,like_count,price,images,description,category,status,seller_location,city_goo,citydong,description_1,expiration_stdate,expiration_endate,room_type,head_count,shipping_fee,transaction_method,market_price,options,parking,check_in_time,check_out_time,stay_type,foreignn,event,advertise
10,당근마켓,https://www.daangn.com/articles/845809507,2024-10-10 08:54:51.013,글래드 호텔 강남 코엑스 센터 숙박권,37,2,95000,"https://img.kr.gcp-karroter.net/origin/article/202410/73f5a556f04d032b12cf6acfa3fcd1f733eb8b93eea039e79c9e0fc0e698c845_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/73f5a556f04d032b12cf6acfa3fcd1f733eb8b93eea039e79c9e0fc0e698c845_1.webp?f=webp&q=95&s=1440x1440&t=inside","스탠다드 더블/트윈 숙박권 입니다
사용기한은 2025.02.04
제외기간 및 주의사항 사진에 나와있는대로 참고 부탁드려요",티켓/교환권,판매중,송파구 풍납동,송파구,풍납동,"제목 : 글래드 호텔 강남 코엑스 센터 숙박권, 상품 게시 시간 : 2024-10-10 08:54:51.013, 상세 설명 : 스탠다드 더블/트윈 숙박권 입니다
사용기한은 2025.02.04
제외기간 및 주의사항 사진에 나와있는대로 참고 부탁드려요",2025-02-04,,스탠다드 더블/트윈,,0.0,기타,,,False,,,호텔,국내,,False
11,당근마켓,https://www.daangn.com/articles/845803414,2024-10-10 08:54:51.013,호텔 숙박권 (장충동 앰배서더 풀만),59,3,350000,https://img.kr.gcp-karroter.net/origin/article/202410/e905d659a40278a9c5762bf5fb468bc5965eb4b2306276425c83c9482065381a.jpg?f=webp&q=95&s=1440x1440&t=inside,"원하시는 날짜로 예약해드립니다.
포함사항 : 수페리어1박 + 조식2인 + 야외수영장 2인
기한 : 25년 3월
예약 불가일 : 매주 토요일, 크리스마스 시즌, 신년 시즌, 설연휴 등",티켓/교환권,판매중,서대문구 창천동,서대문구,창천동,"제목 : 호텔 숙박권 (장충동 앰배서더 풀만), 상품 게시 시간 : 2024-10-10 08:54:51.013, 상세 설명 : 원하시는 날짜로 예약해드립니다.
포함사항 : 수페리어1박 + 조식2인 + 야외수영장 2인
기한 : 25년 3월
예약 불가일 : 매주 토요일, 크리스마스 시즌, 신년 시즌, 설연휴 등",2024-10-10,2049-03-31,수페리어,2.0,0.0,기타,,"조식2인, 야외수영장 2인",False,,,호텔,국내,,False
12,당근마켓,https://www.daangn.com/articles/845796426,2024-10-10 07:54:51.013,파라다이스 호텔 부페 런치 50% 같이 가실분,503,5,55000,https://img.kr.gcp-karroter.net/origin/article/202410/55084926a99a28644ee907a8410707708e30c0a4c2ec31936218e05804c55298.jpg?f=webp&q=95&s=1440x1440&t=inside,"1인입장이 안되서, 카드 혜택으로 같이 가실 분 구합니다. 저한테 보내주시고 제 카드로 결제하면 될 것 같네요
오늘이나 내일 생각중입니다",티켓/교환권,판매중,부산진구 개금동,부산진구,개금동,"제목 : 파라다이스 호텔 부페 런치 50% 같이 가실분, 상품 게시 시간 : 2024-10-10 07:54:51.013, 상세 설명 : 1인입장이 안되서, 카드 혜택으로 같이 가실 분 구합니다. 저한테 보내주시고 제 카드로 결제하면 될 것 같네요
오늘이나 내일 생각중입니다",,,,,0.0,기타,,,False,,,호텔,국내,,False
13,당근마켓,https://www.daangn.com/articles/845786594,2024-10-10 06:54:51.013,워커힐 호텔 숙박권 바우처,97,7,700000,"https://img.kr.gcp-karroter.net/origin/article/202410/c350425295e902a7c4fed1652473c0fdc265ab54c7945a8ae7b96ce4c44e96c1.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/bf0da3597fec2bd897beb90111725e00fb2a184f765e249770f86aa1f3d504a7.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/9cf76921db1c14c9f6144fd412a86e66c827110de57c1d3f37f8a33cdd1e3313.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/68ac4280e78cb3fb6723769deb5e99327e1e4052774f33fd16c405a5f85bea68.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/606f550fe91d3494c85e84c9a120cbf194020bc9a914d2a9b1e03415f939bbae.jpg?f=webp&q=95&s=1440x1440&t=inside","비스타 워커힐 서울 딜럭스 스위트 2박3일 이용권 팝니다
12월 24,25.31일 제외 언제든 사용 가능
유효 기간은 2025.3.31
연박으로 예약해도 되고, 동일 날짜에 룸2개도 가능합니다.
개인적으로 그랜드워커힐 디럭스스위트 추천드립니다.
일반 디럭스 아닌 디럭스 스위트라 룸 크기가 분리되어 있는 타입으로 꽤 큽니다.
그리고 스카이야드, 미니바도 이용 가능합니다.
저렴한 가격, 좋은 조건으로 호캉스 하세요~",티켓/교환권,판매중,수원시 장안구 정자1동,장안구,정자1동,"제목 : 워커힐 호텔 숙박권 바우처, 상품 게시 시간 : 2024-10-10 06:54:51.013, 상세 설명 : 비스타 워커힐 서울 딜럭스 스위트 2박3일 이용권 팝니다
12월 24,25.31일 제외 언제든 사용 가능
유효 기간은 2025.3.31
연박으로 예약해도 되고, 동일 날짜에 룸2개도 가능합니다.
개인적으로 그랜드워커힐 디럭스스위트 추천드립니다.
일반 디럭스 아닌 디럭스 스위트라 룸 크기가 분리되어 있는 타입으로 꽤 큽니다.
그리고 스카이야드, 미니바도 이용 가능합니다.
저렴한 가격, 좋은 조건으로 호캉스 하세요~",,,,,0.0,기타,,,False,,,호텔,국내,,False
14,당근마켓,https://www.daangn.com/articles/845781193,2024-10-10 06:54:51.014,인천공항 호텔 시애틀,71,0,40000,https://img.kr.gcp-karroter.net/origin/article/202410/509e48609b7cfd6e30033d539762ae0f72794e8b07a8bd8f52b02b08b7ce0e29.jpg?f=webp&q=95&s=1440x1440&t=inside,면접 때문에 잡았는데 못가게되어서 팝니다,티켓/교환권,판매중,서구 남부민동,서구,남부민동,"제목 : 인천공항 호텔 시애틀, 상품 게시 시간 : 2024-10-10 06:54:51.014, 상세 설명 : 면접 때문에 잡았는데 못가게되어서 팝니다",2024-10-10,2025-03-31,디럭스 스위트,,0.0,기타,,"스카이야드, 미니바",False,,,호텔,국내,,False
15,당근마켓,https://www.daangn.com/articles/845777898,2024-10-10 04:54:51.014,신라호텔 11/11 - 11/12 양도,135,1,330000,"https://img.kr.gcp-karroter.net/origin/article/202410/cc57ecd2aa576cbf77a922f5276fedf0b219b31884c8d7d43dfcf7d8a672e37d.jpg?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/d73b800dc5b51f3ea52680eef547fa631f8066e4634e9de30c370429665d35d7.jpg?f=webp&q=95&s=1440x1440&t=inside","어번아일랜드 올데이 + F&B 크레딧 3만원 포함 구성입니다
예약 후 해외 여행이 잡혀 가지 못하게 되었지만
혜택이 좋아 가실 분 계시다면 좋겠습니다 !",티켓/교환권,판매중,군포시 당정동,,당정동,"제목 : 신라호텔 11/11 - 11/12 양도, 상품 게시 시간 : 2024-10-10 04:54:51.014, 상세 설명 : 어번아일랜드 올데이 + F&B 크레딧 3만원 포함 구성입니다
예약 후 해외 여행이 잡혀 가지 못하게 되었지만
혜택이 좋아 가실 분 계시다면 좋겠습니다 !",2024-11-11,2024-11-12,,,0.0,기타,,"어번아일랜드 올데이, F&B 크레딧 3만원 포함",False,,,호텔,국내,,False
16,당근마켓,https://www.daangn.com/articles/845775889,2024-10-10 03:54:51.014,롯데호텔 라세느 점심/저녁 뷔페 이용권 2매 판매합니다,63,2,280000,"https://img.kr.gcp-karroter.net/origin/article/202410/01cf0689c90bbd3a319cd4781a42e408edd7ce6c710cf9e42ff31e23789eb616_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/01cf0689c90bbd3a319cd4781a42e408edd7ce6c710cf9e42ff31e23789eb616_1.webp?f=webp&q=95&s=1440x1440&t=inside","롯데호텔 점심/저녁 뷔페이용권 2매 판매합니다
유효기간이 24년 7월 14일까지인데 지나서 기 판매금액으로 인정됩니다. 이부분 참고 부탁드립니다.
2장 기 판매금액 장당 17 도합 34로 인정해줍니다.
택배 거래도 가능
직거래는 화성시 진안동
궁금하신 사항 문의 주세요
중고거래 특성상 교환 환불 불가",티켓/교환권,판매중,화성시 진안동,,진안동,"제목 : 롯데호텔 라세느 점심/저녁 뷔페 이용권 2매 판매합니다, 상품 게시 시간 : 2024-10-10 03:54:51.014, 상세 설명 : 롯데호텔 점심/저녁 뷔페이용권 2매 판매합니다
유효기간이 24년 7월 14일까지인데 지나서 기 판매금액으로 인정됩니다. 이부분 참고 부탁드립니다.
2장 기 판매금액 장당 17 도합 34로 인정해줍니다.
택배 거래도 가능
직거래는 화성시 진안동
궁금하신 사항 문의 주세요
중고거래 특성상 교환 환불 불가",2024-07-14,,,,0.0,택배거래,34.0,,False,,,호텔,국내,,False
17,당근마켓,https://www.daangn.com/articles/845767011,2024-10-10 01:54:51.014,"대흥동 호텔/모텔 숙박권(부사동,은행동,모텔,호텔)",102,4,20000,https://img.kr.gcp-karroter.net/origin/article/202410/9d35ba622b7d1025e87233309225e72dd952d2af3a896d4398ca4d45d16ce531.jpg?f=webp&q=95&s=1440x1440&t=inside,"대전 베스티인시티호텔 숙박권 
10/10(15시 입실)~10/11(12시 퇴실) 판매해요~! 
이벤트룸이 일반룸일거예요!
비대면 계좌이체로 거래만⭕️",티켓/교환권,판매중,중구 태평동,중구,태평동,"제목 : 대흥동 호텔/모텔 숙박권(부사동,은행동,모텔,호텔), 상품 게시 시간 : 2024-10-10 01:54:51.014, 상세 설명 : 대전 베스티인시티호텔 숙박권 
10/10(15시 입실)~10/11(12시 퇴실) 판매해요~! 
이벤트룸이 일반룸일거예요!
비대면 계좌이체로 거래만⭕️",2024-10-10,2024-10-11,일반룸,,0.0,기타,,,False,15:00,12:00,호텔,국내,,False
18,당근마켓,https://www.daangn.com/articles/845757956,2024-10-10 00:54:51.014,레지던스 호텔 양도,136,0,270000,"https://img.kr.gcp-karroter.net/origin/article/202410/71e712eca6aeb09bfc3cf0678ee2619ce135c668c9914f1694b79a2a00aa0173_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/71e712eca6aeb09bfc3cf0678ee2619ce135c668c9914f1694b79a2a00aa0173_1.webp?f=webp&q=95&s=1440x1440&t=inside","일정 안되어 양도 합니다.
10/12-13
4인 가능, 간단 조리 가능입니다!
37만 -> 27만원입니다.
연락주세요:)",티켓/교환권,판매중,성북구 보문동3가,성북구,,"제목 : 레지던스 호텔 양도, 상품 게시 시간 : 2024-10-10 00:54:51.014, 상세 설명 : 일정 안되어 양도 합니다.
10/12-13
4인 가능, 간단 조리 가능입니다!
37만 -> 27만원입니다.
연락주세요:)",,2024-12-03,1인식사권,,0.0,직거래,,,False,,,호텔,국내,,False
19,당근마켓,https://www.daangn.com/articles/845757572,2024-10-10 00:54:51.014,신라호텔파크뷰 1인식사권(~12.3),151,5,150000,"https://img.kr.gcp-karroter.net/origin/article/202410/846270d48e7b6180dfe90bb1bc869ec4f1ecc6ede8d8aa8084a2202a4c7051da_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/aed2bc160b2ddbeb09dc1492bef292f1c1e44248bb440a70b70f1b7ccb403456_0.webp?f=webp&q=95&s=1440x1440&t=inside","12월 3일까지입니다
동천동 주민센타인근 거래가능합니다",티켓/교환권,판매중,용인시 수지구 동천동,수지구,동천동,"제목 : 신라호텔파크뷰 1인식사권(~12.3), 상품 게시 시간 : 2024-10-10 00:54:51.014, 상세 설명 : 12월 3일까지입니다
동천동 주민센타인근 거래가능합니다",2024-10-12,2024-10-13,레지던스,4.0,0.0,기타,270000.0,간단 조리 가능,False,,,호텔,국내,,False
20,당근마켓,https://www.daangn.com/articles/845753623,2024-10-10 00:54:51.014,강원랜드 하이원그랜드호텔 메인타워 그랜드테이블조식권,72,0,20000,"https://img.kr.gcp-karroter.net/origin/article/202410/15a75a3706ad8b6a1b926d9f1665f85d39dcdb3471025080f8aa7e708a21fa54_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/5c51378e849fa400b2f2ecca820f80a79bc2f6659a212b4c7c18ce445d94b5ce_0.webp?f=webp&q=95&s=1440x1440&t=inside, https://img.kr.gcp-karroter.net/origin/article/202410/33d6f5f9a5dc32488275de9740aa00ef54f68b4a56168df3eab2c3a5ee093a1f_0.webp?f=webp&q=95&s=1440x1440&t=inside","하이원 그랜드호텔 메인타워  그랜드테이블
조식뷔페권판매해요 
10월10일목요일 조식 또는
10월11일금요일 조식만 가능해요
총 대인2장 있습니다
1장에 20,000원에 드려요
한장당 정상가 49,000원입니다
비대면거래가능
입금확인 후 모바일 바코드로 바로 보내드려요",티켓/교환권,판매중,정선군 사북읍,,,"제목 : 강원랜드 하이원그랜드호텔 메인타워 그랜드테이블조식권, 상품 게시 시간 : 2024-10-10 00:54:51.014, 상세 설명 : 하이원 그랜드호텔 메인타워  그랜드테이블
조식뷔페권판매해요 
10월10일목요일 조식 또는
10월11일금요일 조식만 가능해요
총 대인2장 있습니다
1장에 20,000원에 드려요
한장당 정상가 49,000원입니다
비대면거래가능
입금확인 후 모바일 바코드로 바로 보내드려요",,,,2.0,0.0,기타,49000.0,조식뷔페,False,,,호텔,국내,,False
